Unicode	input code	full code
17000	msbu	msbu
17001	mbme	mbmle
17002	mgxn	mgxnn
17003	mmll	mmlnell
17004	myqp	mydqp
17005	mllp	mllmsp
17006	mzp	mzp
17007	mce	mce
17008	mctp	mcbtp
17009	msxp	msxp
1700A	mgcl	mgczll
1700B	mgsu	mgsbu
1700C	mmxx	mmxmx
1700D	mlkp	mlrkp
1700E	mbqi	mbqxi
1700F	mbxp	mbxhp
17010	mcvu	mcjvbtu
17011	mtxp	mtxp
17012	mrxp	mrxp
17013	mzvm	mzvydmm
17014	mgap	mgap
17015	mllb	mllmzjb
17016	mxxp	mxixp
17017	mcvi	mcjvxi
17018	mnap	mntap
17019	mgmp	mgmbp
1701A	mmew	mmlnemw
1701B	myqb	mydqmsb
1701C	myqb	mydqzb
1701D	mzxp	mzxp
1701E	mcvj	mcjvbqj
1701F	mzle	mzllmlne
17020	mglp	mglyxp
17021	mgcp	mgcwsp
17022	mmea	mmlnebua
17023	myqx	mydqmsx
17024	myqb	mydqzlb
17025	mtxp	mtxgp
17026	mjvt	mjvybhhbt
17027	marp	marbtp
17028	mmxp	mmtjydxp
17029	malp	malldjpip
1702A	mzsp	mzslxp
1702B	mybp	mymbayop
1702C	mnaa	mntaroa
1702D	mmda	mmtjydroa
1702E	mnap	mntantap
1702F	mnat	mntaumtjmbt
17030	lwb	lwb
17031	lmle	lmle
17032	lmsi	lmsi
17033	lck	lck
17034	lnx	lnx
17035	lhht	lhhbt
17036	lz	lz
17037	lyx	lyx
17038	ltb	ltb
17039	lfd	lfd
1703A	lrk	lrk
1703B	lsq	lsq
1703C	lntm	lntm
1703D	lnqb	lnqb
1703E	lzll	lzlll
1703F	lmbo	lmbuo
17040	las	las
17041	lymx	lymx
17042	lfbu	lfbtu
17043	lclx	lclx
17044	lcbu	lcbqu
17045	lrx	lrx
17046	lga	lga
17047	lmsw	lmsbw
17048	lmeo	lmneo
17049	lfgb	lfgb
1704A	ltlx	ltlx
1704B	lcxn	lclxnnn
1704C	lkp	lrkp
1704D	lcso	lcso
